Type,Identifier,Deck,Segment,Zone,Ax,Ay,a,b
PbB,Pb1,0,NO,Pb,20,-0.5,1,30,
PbB,Pb2,1,NO,Pb,30,-0.5,1,35,
PaB,Pa1,1,NO,Pa,65,-6.68163,13.3633,10,
PaB,Pa2,0,NO,Pa,90,-3.4359,6.87181,10,
PaB,Pa3,2,NO,Pa,60,-6.53625,13.0725,10,
OB,O1,-1,14,Z0,72.5347,-5.25078,5.19655,7.46531,
OB,O2,-1,14,Z0,60,-1.04976,7.37249,9.45037,
OB,O3,-1,14,Z0,60,-6.32273,5.27296,9.45037,
OB,O4,-1,13,Z0,50,-6.58037,6.18037,10,
OB,O5,-2,16,Z0,53.997,-3,6,5.22808,
OB,O6,-1,14,Z0,69.4504,-5.59445,3.47683,3.08432,
OB,O7,-1,14,Z0,69.4504,-2.11762,7.71206,3.08432,
OB,O8,-2,16,Z0,62.4815,-3,1.7428,2.51852,
OB,O9,-2,17,Z0,73.8954,0.5,2.38772,6.10455,
OB,O10,-2,15,Z0,18,-4.05581,8.11161,27,
OB,O11,-2,16,Z0,50,-3,6,3.99703,
OB,O12,-1,14,Z0,72.5347,-0.0542311,5.30501,7.46531,
OB,O13,-2,17,Z0,70,0.5,2.76009,3.89545,
OB,O14,-2,16,Z0,59.2251,-3,6,3.25637,
OB,O15,-2,16,Z0,62.4815,-1.2572,4.2572,2.51852,
OB,O16,-1,8,Z0,10,3,3.58037,40,
OB,O17,-1,9,Z0,10,-2.5,5,20,
OB,O18,-1,7,Z0,2,-5.27125,10.5425,4.82246,
OB,O19,0,6,Z0,50,0.806881,3.25399,6.3271,
OB,O20,-1,11,Z0,48.9927,-2.5,5,0.207264,
OB,O21,-1,11,Z0,42.4862,-2.5,5,3.34307,
OB,O22,-1,11,Z0,45.8292,-0.147983,2.64798,3.16351,
OB,O23,-1,11,Z0,45.8292,-2.5,2.35202,3.16351,
OB,O24,-1,12,Z0,50,0.4,6.18037,10,
OB,O25,-1,10,Z0,10,-5.91772,2.91772,9.36385,
OB,O26,0,6,Z0,66.1481,-5.9023,2.07354,2.00837,
OB,O27,-1,11,Z0,38.0907,-2.5,5,4.39551,
OB,O28,0,6,Z0,68.1565,-0.243636,7.08593,6.84353,
OB,O29,-1,7,Z0,6.82246,-5.45492,10.9098,3.17754,
OB,O30,-1,11,Z0,31,-2.5,5,7.09065,
OB,O31,-1,10,Z0,39.4292,-6.55509,3.55509,4.71725,
OB,O32,-1,10,Z0,19.3639,-6.20417,3.20417,7.56401,
OB,O33,-1,10,Z0,44.1464,-6.58037,3.58037,5.85356,
OB,O34,-1,10,Z0,30.1918,-6.50064,3.50064,9.23739,
OB,O35,-1,10,Z0,26.9279,-6.30053,3.30053,3.26394,
OB,O36,0,5,Z0,20,-7.27747,1.78032,2.81691,
OB,O37,0,6,Z0,61.2509,-7.26233,2.04572,4.89724,
OB,O38,0,6,Z0,57.7244,2.6256,4.75023,3.52644,
OB,O39,0,5,Z0,31.5759,-7.42546,1.11386,2.81036,
OB,O40,0,4,Z0,33.2482,4.01552,3.44638,5.51198,
OB,O41,0,4,Z0,46.7194,0.5,0.772888,3.28062,
OB,O42,0,4,Z0,38.7602,2.94156,4.55297,7.95916,
OB,O43,0,4,Z0,20,0.5,2.80434,4.06521,
OB,O44,0,4,Z0,46.7194,2.278,5.222,3.28062,
OB,O45,0,4,Z0,24.0652,3.80039,3.54075,2.99691,
OB,O46,0,5,Z0,22.8169,-4.14354,3.64354,5.02036,
OB,O47,0,4,Z0,38.7602,0.5,2.44156,7.95916,
OB,O48,0,5,Z0,34.3862,-5.56707,5.06707,1.67901,
OB,O49,0,4,Z0,33.2482,0.5,3.51552,5.51198,
OB,O50,0,6,Z0,50,-7.5,5.01528,6.3271,
OB,O51,0,5,Z0,31.5759,-6.31159,2.79216,2.81036,
OB,O52,0,6,Z0,50,-2.48472,3.2916,6.3271,
OB,O53,0,6,Z0,56.3271,-6.48609,0.671562,1.39733,
OB,O54,0,4,Z0,24.0652,0.5,1.46952,2.99691,
OB,O55,0,5,Z0,22.8169,-7.35257,3.20903,5.02036,
OB,O56,0,4,Z0,24.0652,1.96952,1.83088,2.99691,
OB,O57,0,5,Z0,36.0652,-4.73337,4.23337,4.24442,
OB,O58,0,6,Z0,50,4.06087,3.43913,6.3271,
OB,O59,0,6,Z0,61.2509,0.719595,6.54273,4.89724,
OB,O60,0,6,Z0,66.1481,-6.9939,1.0916,2.00837,
OB,O61,0,6,Z0,66.1481,-3.82876,10.8227,2.00837,
OB,O62,0,5,Z0,31.5759,-3.51943,3.01943,2.81036,
OB,O63,0,4,Z0,46.7194,1.27289,1.00511,3.28062,
OB,O64,0,6,Z0,68.1565,-6.84229,6.59866,6.84353,
OB,O65,0,5,Z0,36.0652,-7.47007,2.73671,4.24442,
OB,O66,0,4,Z0,27.0621,0.5,6.91569,6.18611,
OB,O67,0,5,Z0,20,-5.49716,4.99716,2.81691,
OB,O68,0,5,Z0,27.8373,-7.39618,6.89618,3.73861,
OB,O69,0,5,Z0,34.3862,-7.43944,1.87238,1.67901,
OB,O70,0,5,Z0,40.3097,-7.5,7,9.69034,
OB,O71,0,4,Z0,20,3.30434,3.99186,4.06521,
OB,O72,0,6,Z0,56.3271,-7.41949,0.933408,1.39733,
OB,O73,0,6,Z0,57.7244,-5.35014,3.5484,3.52644,
OB,O74,0,6,Z0,57.7244,-7.37583,2.02569,3.52644,
OB,O75,0,6,Z0,61.2509,-5.2166,2.93615,4.89724,
OB,O76,0,6,Z0,56.3271,-0.479707,7.8992,1.39733,
OB,O77,0,6,Z0,57.7244,-1.80174,4.42733,3.52644,
OB,O78,0,6,Z0,61.2509,-2.28045,3.00005,4.89724,
OB,O79,0,6,Z0,56.3271,-4.02491,3.5452,1.39733,
OB,O80,0,6,Z0,56.3271,-5.81452,1.78961,1.39733,
OB,O81,0,3,Z0,0,-6.87801,2.06267,4.51705,
OB,O82,0,3,Z0,4.51705,-7.01856,7.11306,5.48295,
OB,O83,0,3,Z0,4.51705,0.094504,6.92405,5.48295,
OB,O84,1,2,Z0,41.531,0.5,6.58401,14.5473,
OB,O85,1,1,Z0,33.2086,-7.08408,6.58408,8.33635,
OB,O86,1,2,Z0,30,0.5,2.81909,2.41784,
OB,O87,1,2,Z0,64.5338,0.5,6.20604,0.466249,
OB,O88,1,2,Z0,56.0783,0.5,2.08662,4.59276,
OB,O89,1,2,Z0,60.671,0.5,6.40034,3.86272,
OB,O90,1,2,Z0,56.0783,2.58662,4.45082,4.59276,
OB,O91,0,3,Z0,0,-4.81534,11.6933,4.51705,
OB,O92,1,2,Z0,30,3.31909,3.69457,2.41784,
OB,O93,1,2,Z0,32.4178,0.5,6.58401,9.11316,
OB,O94,1,1,Z0,41.545,-7.10568,2.78128,7.17901,
OB,O95,1,1,Z0,30,-4.55536,1.69986,3.20864,
OB,O96,1,1,Z0,48.724,-7.10568,6.60568,5.86225,
OB,O97,1,1,Z0,30,-7.02282,2.46746,3.20864,
OB,O98,1,1,Z0,30,-2.8555,2.3555,3.20864,
OB,O99,1,1,Z0,41.545,-4.3244,3.8244,7.17901,
OB,O100,1,1,Z0,64.2828,-6.71918,6.21918,0.717175,
OB,O101,1,1,Z0,54.5862,-7.06332,6.56332,9.69658,
