Type,Identifier,Deck,Segment,Zone,Ax,Ay,a,b
PbB,Pb1,0,NO,Pb,20,-0.5,1,30,
PbB,Pb2,1,NO,Pb,30,-0.5,1,35,
PaB,Pa1,1,NO,Pa,65,-6.68163,13.3633,10,
PaB,Pa2,0,NO,Pa,90,-3.4359,6.87181,10,
PaB,Pa3,2,NO,Pa,60,-6.53625,13.0725,10,
OB,O1,-1,14,Z0,72.7142,-5.22776,3.70717,7.28575,
OB,O2,-1,14,Z0,66.0729,-5.92086,3.73624,6.64138,
OB,O3,-1,14,Z0,60,-6.32273,5.92325,6.07287,
OB,O4,-1,14,Z0,72.7142,-1.52059,6.74834,7.28575,
OB,O5,-2,15,Z0,39.9567,-4.05581,4.47509,5.04334,
OB,O6,-2,16,Z0,55.9672,-3,6,5.29722,
OB,O7,-1,14,Z0,60,-0.399472,6.7222,6.07287,
OB,O8,-2,16,Z0,61.2644,-3,6,3.73557,
OB,O9,-2,17,Z0,75.5553,0.5,2.19662,4.44469,
OB,O10,-2,15,Z0,18,-3.8016,7.6032,21.9567,
OB,O11,-2,16,Z0,50,-3,6,5.9672,
OB,O12,-1,14,Z0,66.0729,-2.18462,8.10548,6.64138,
OB,O13,-2,17,Z0,70,0.5,2.76009,2.63445,
OB,O14,-2,15,Z0,39.9567,0.419287,3.63652,5.04334,
OB,O15,-2,17,Z0,72.6345,0.5,2.50826,2.92086,
OB,O16,-1,8,Z0,10,3,3.58037,40,
OB,O17,-1,9,Z0,10,-2.5,5,20,
OB,O18,-1,7,Z0,2,-5.31416,10.6283,5.56477,
OB,O19,0,6,Z0,57.5737,2.57803,4.80251,3.88097,
OB,O20,-1,10,Z0,26.231,-6.31115,1.23748,4.35474,
OB,O21,-1,12,Z0,50,0.4,6.18037,10,
OB,O22,-1,11,Z0,47.5113,-2.5,5,1.68871,
OB,O23,-1,11,Z0,44.0364,-2.5,3.06231,3.47492,
OB,O24,-1,11,Z0,44.0364,0.562308,1.93769,3.47492,
OB,O25,-1,10,Z0,10,-5.69585,2.69585,4.57374,
OB,O26,0,6,Z0,54.1074,-3.455,2.16885,3.4663,
OB,O27,-1,11,Z0,39.1303,-2.5,5,4.90608,
OB,O28,0,6,Z0,72.3513,-6.49101,12.982,2.64872,
OB,O29,-1,7,Z0,7.56477,-5.45492,10.9098,2.43523,
OB,O30,-1,11,Z0,31,-2.5,5,8.13029,
OB,O31,-1,10,Z0,20.8069,-6.18003,3.18003,5.42407,
OB,O32,-1,10,Z0,33.694,-6.58037,3.58037,16.306,
OB,O33,-1,10,Z0,30.5857,-6.39352,3.39352,3.10834,
OB,O34,-1,10,Z0,26.231,-5.07367,2.07367,4.35474,
OB,O35,-1,10,Z0,14.5737,-5.97884,2.97884,6.23316,
OB,O36,0,6,Z0,57.5737,-4.61155,3.61605,3.88097,
OB,O37,0,6,Z0,54.1074,5.12724,2.33107,3.4663,
OB,O38,0,6,Z0,61.4547,2.22985,5.0213,3.14866,
OB,O39,0,6,Z0,64.6034,-7.07857,4.30503,7.3669,
OB,O40,0,6,Z0,72.1524,-6.51189,7.40872,0.198848,
OB,O41,0,4,Z0,24.095,1.54841,3.62947,2.30138,
OB,O42,0,4,Z0,41.3153,0.5,6.99413,5.15957,
OB,O43,0,4,Z0,20,0.5,6.79664,4.09497,
OB,O44,0,5,Z0,25.0743,-7.40389,2.30388,7.16255,
OB,O45,0,4,Z0,26.3964,0.5,2.46839,7.91317,
OB,O46,0,5,Z0,32.2368,-7.4258,4.10133,2.19082,
OB,O47,0,4,Z0,46.4749,0.5,7,3.52513,
OB,O48,0,5,Z0,32.2368,-3.32447,2.82447,2.19082,
OB,O49,0,4,Z0,34.3095,0.5,5.17263,4.46062,
OB,O50,0,6,Z0,50,-7.5,8.32244,4.10745,
OB,O51,0,6,Z0,54.1074,-5.35592,1.90092,3.4663,
OB,O52,0,6,Z0,50,4.79999,2.70001,4.10745,
OB,O53,0,6,Z0,54.1074,-7.45831,2.10238,3.4663,
OB,O54,0,4,Z0,38.7701,0.5,4.00799,2.54515,
OB,O55,0,4,Z0,24.095,5.17788,2.15328,2.30138,
OB,O56,0,4,Z0,34.3095,5.67263,1.78935,4.46062,
OB,O57,0,5,Z0,25.0743,-5.10002,4.60002,7.16255,
OB,O58,0,5,Z0,37.9117,-7.4761,6.9761,3.6028,
OB,O59,0,6,Z0,64.6034,-2.77354,5.39839,7.3669,
OB,O60,0,6,Z0,71.9703,-6.52695,4.10754,0.182149,
OB,O61,0,6,Z0,54.1074,-1.28615,3.44212,3.4663,
OB,O62,0,5,Z0,20,-3.53156,3.03156,5.07427,
OB,O63,0,6,Z0,61.4547,-7.25115,2.17318,3.14866,
OB,O64,0,6,Z0,61.4547,-5.07797,1.41603,3.14866,
OB,O65,0,6,Z0,54.1074,2.15597,2.97127,3.4663,
OB,O66,0,4,Z0,26.3964,2.96839,4.45643,7.91317,
OB,O67,0,6,Z0,64.6034,2.62485,4.45372,7.3669,
OB,O68,0,5,Z0,41.5145,-7.5,7,8.48548,
OB,O69,0,4,Z0,38.7701,4.50799,2.96711,2.54515,
OB,O70,0,5,Z0,34.4276,-7.45483,6.95483,3.48408,
OB,O71,0,6,Z0,71.9703,-2.41941,8.94636,0.182149,
OB,O72,0,6,Z0,50,0.822444,3.97755,4.10745,
OB,O73,0,6,Z0,61.4547,-3.66194,4.30849,3.14866,
OB,O74,0,6,Z0,57.5737,-0.9955,1.91067,3.88097,
OB,O75,0,6,Z0,57.5737,-7.38053,2.76898,3.88097,
OB,O76,0,6,Z0,61.4547,0.646544,1.58331,3.14866,
OB,O77,0,6,Z0,57.5737,0.915174,1.66285,3.88097,
OB,O78,0,5,Z0,20,-7.31133,3.77977,5.07427,
OB,O79,0,4,Z0,24.095,0.5,1.04841,2.30138,
OB,O80,0,6,Z0,72.1524,0.896824,5.61507,0.198848,
OB,O81,1,2,Z0,51.3535,0.5,6.59466,8.93189,
OB,O82,0,3,Z0,7.40722,-7.01856,14.0371,2.59278,
OB,O83,0,3,Z0,0,-6.95373,4.9058,7.40722,
OB,O84,1,2,Z0,34.9857,0.5,6.59265,8.28677,
OB,O85,1,1,Z0,56.4626,-7.02596,6.52596,8.1686,
OB,O86,1,2,Z0,30,0.5,1.71639,4.98569,
OB,O87,1,2,Z0,64.71,0.5,6.19681,0.289954,
OB,O88,1,2,Z0,43.2725,0.5,6.60348,4.12015,
OB,O89,1,2,Z0,60.2854,0.5,6.41185,4.42464,
OB,O90,1,2,Z0,47.3926,0.5,6.60348,3.96091,
OB,O91,0,3,Z0,0,-2.04793,9.00166,7.40722,
OB,O92,1,2,Z0,30,2.21639,4.82196,4.98569,
OB,O93,1,1,Z0,32.8316,-7.05436,3.3947,4.091,
OB,O94,1,1,Z0,32.8316,-3.65966,3.15966,4.091,
OB,O95,1,1,Z0,64.6313,-6.70094,6.20094,0.368749,
OB,O96,1,1,Z0,49.9909,-7.10777,3.20384,6.47174,
OB,O97,1,1,Z0,30,-5.84918,2.01015,2.83157,
OB,O98,1,1,Z0,30,-7.01845,1.16928,2.83157,
OB,O99,1,1,Z0,36.9226,-7.10777,6.60777,13.0683,
OB,O100,1,1,Z0,30,-3.83903,3.33903,2.83157,
OB,O101,1,1,Z0,49.9909,-3.90393,3.40393,6.47174,
