Type,Identifier,Deck,Segment,Zone,Ax,Ay,a,b
PbB,Pb1,0,NO,Pb,20,-0.5,1,30,
PbB,Pb2,1,NO,Pb,30,-0.5,1,35,
PaB,Pa1,1,NO,Pa,65,-6.68163,13.3633,10,
PaB,Pa2,0,NO,Pa,90,-3.4359,6.87181,10,
PaB,Pa3,2,NO,Pa,60,-6.53625,13.0725,10,
OB,O1,-1,14,Z0,72.729,-5.22587,3.57629,7.27099,
OB,O2,-1,14,Z0,66.1929,-5.90926,3.65843,6.5361,
OB,O3,-1,14,Z0,60,-6.32273,6.35511,6.19291,
OB,O4,-1,14,Z0,72.729,-1.64957,6.87544,7.27099,
OB,O5,-2,15,Z0,39.9567,-4.05581,4.47509,5.04334,
OB,O6,-2,16,Z0,50,-3,6,6.93058,
OB,O7,-1,14,Z0,60,0.0323829,6.29034,6.19291,
OB,O8,-2,16,Z0,56.9306,-3,3.16842,2.98847,
OB,O9,-2,17,Z0,74.9701,0.5,2.26509,5.02986,
OB,O10,-2,15,Z0,18,-3.8016,7.6032,21.9567,
OB,O11,-2,16,Z0,59.9191,-3,6,5.08094,
OB,O12,-1,14,Z0,66.1929,-2.25083,8.16008,6.5361,
OB,O13,-2,16,Z0,56.9306,0.168418,2.83158,2.98847,
OB,O14,-2,15,Z0,39.9567,0.419287,3.63652,5.04334,
OB,O15,-2,17,Z0,70,0.5,2.76009,4.97014,
OB,O16,-1,8,Z0,10,3,3.58037,40,
OB,O17,-1,9,Z0,10,-2.5,5,20,
OB,O18,-1,7,Z0,2,-5.31536,10.6307,5.58562,
OB,O19,0,6,Z0,50,-7.5,4.87622,3.78678,
OB,O20,-1,10,Z0,20.7986,-6.10996,3.10996,3.40983,
OB,O21,-1,12,Z0,50,0.4,6.18037,10,
OB,O22,-1,11,Z0,47.5113,-2.5,5,1.68871,
OB,O23,-1,11,Z0,43.8167,-2.5,3.17751,3.69458,
OB,O24,-1,11,Z0,43.8167,0.677515,1.82249,3.69458,
OB,O25,-1,10,Z0,10,-5.75591,2.75591,5.77319,
OB,O26,0,6,Z0,50,-2.62378,1.9802,3.78678,
OB,O27,-1,11,Z0,39.1303,-2.5,5,4.68642,
OB,O28,0,6,Z0,66.3854,-6.98089,4.33301,8.61458,
OB,O29,-1,7,Z0,7.58562,-5.45492,10.9098,2.41438,
OB,O30,-1,11,Z0,31,-2.5,5,8.13029,
OB,O31,-1,10,Z0,24.2084,-6.19708,3.19708,2.51459,
OB,O32,-1,10,Z0,32.1276,-6.56165,3.56165,13.0072,
OB,O33,-1,10,Z0,45.1348,-6.58037,3.58037,4.86519,
OB,O34,-1,10,Z0,26.723,-6.35269,3.35269,5.40462,
OB,O35,-1,10,Z0,15.7732,-5.97849,2.97849,5.02543,
OB,O36,0,6,Z0,63.3701,5.55937,1.5868,3.01532,
OB,O37,0,6,Z0,63.3701,-5.13153,2.6316,3.01532,
OB,O38,0,6,Z0,63.3701,-7.14617,2.01463,3.01532,
OB,O39,0,6,Z0,54.8904,2.18935,5.26101,5.72606,
OB,O40,0,6,Z0,53.7868,-4.98888,1.3021,1.10363,
OB,O41,0,4,Z0,24.095,1.45375,3.30177,2.53043,
OB,O42,0,4,Z0,44.8383,0.5,7,5.16169,
OB,O43,0,4,Z0,20,0.5,6.79664,4.09497,
OB,O44,0,5,Z0,24.8915,-5.90763,5.40763,2.60458,
OB,O45,0,4,Z0,26.6254,0.5,2.52989,7.71917,
OB,O46,0,5,Z0,27.496,-4.38405,3.88405,2.2588,
OB,O47,0,4,Z0,41.3086,0.5,6.9914,3.52967,
OB,O48,0,6,Z0,53.7868,-7.46156,1.02626,1.10363,
OB,O49,0,4,Z0,34.3446,0.5,6.95433,3.50778,
OB,O50,0,6,Z0,54.8904,-3.77074,5.96009,5.72606,
OB,O51,0,6,Z0,63.3701,-0.222809,1.82749,3.01532,
OB,O52,0,6,Z0,50,2.59044,2.90052,3.78678,
OB,O53,0,6,Z0,50,5.49096,2.00904,3.78678,
OB,O54,0,4,Z0,37.8523,2.78296,2.50094,3.4563,
OB,O55,0,4,Z0,24.095,4.75552,2.57907,2.53043,
OB,O56,0,4,Z0,37.8523,0.5,2.28296,3.4563,
OB,O57,0,5,Z0,46.0039,-7.5,7,3.99608,
OB,O58,0,5,Z0,38.3397,-7.49334,6.99334,7.66426,
OB,O59,0,6,Z0,66.3854,0.885182,6.09571,8.61458,
OB,O60,0,6,Z0,53.7868,-2.70412,0.655021,1.10363,
OB,O61,0,6,Z0,63.3701,1.60468,3.95469,3.01532,
OB,O62,0,5,Z0,20,-7.30859,6.80859,4.89146,
OB,O63,0,6,Z0,60.6165,-7.28544,2.45321,2.75362,
OB,O64,0,6,Z0,60.6165,-4.83223,1.61534,2.75362,
OB,O65,0,6,Z0,60.6165,3.51767,3.76778,2.75362,
OB,O66,0,4,Z0,26.6254,3.02989,4.39522,7.71917,
OB,O67,0,6,Z0,66.3854,-2.64789,3.53307,8.61458,
OB,O68,0,5,Z0,27.496,-7.37494,2.99089,2.2588,
OB,O69,0,4,Z0,37.8523,5.2839,2.19117,3.4563,
OB,O70,0,5,Z0,29.7548,-7.45839,6.95839,8.58483,
OB,O71,0,6,Z0,53.7868,-6.4353,1.44643,1.10363,
OB,O72,0,6,Z0,50,-0.643585,3.23402,3.78678,
OB,O73,0,6,Z0,60.6165,-3.21689,4.92766,2.75362,
OB,O74,0,6,Z0,54.8904,-7.45036,3.67961,5.72606,
OB,O75,0,6,Z0,53.7868,-2.0491,9.51066,1.10363,
OB,O76,0,6,Z0,60.6165,1.71077,1.8069,2.75362,
OB,O77,0,6,Z0,63.3701,-2.49993,2.27712,3.01532,
OB,O78,0,5,Z0,24.8915,-7.34765,1.44003,2.60458,
OB,O79,0,4,Z0,24.095,0.5,0.953752,2.53043,
OB,O80,0,6,Z0,53.7868,-3.68677,0.982651,1.10363,
OB,O81,1,2,Z0,51.0875,0.5,2.70062,7.20295,
OB,O82,0,3,Z0,7.23535,-7.01856,14.0371,2.76465,
OB,O83,0,3,Z0,0,-6.94943,4.85297,7.23535,
OB,O84,1,2,Z0,30,0.5,6.59111,12.9636,
OB,O85,1,1,Z0,39.9428,-7.10366,6.60366,7.56001,
OB,O86,1,1,Z0,34.4294,-4.45285,3.95285,5.51333,
OB,O87,1,2,Z0,64.6216,0.5,6.20144,0.378385,
OB,O88,1,2,Z0,42.9636,0.5,6.60298,4.12697,
OB,O89,1,2,Z0,51.0875,3.20062,3.89662,7.20295,
OB,O90,1,2,Z0,47.0906,0.5,6.60298,3.99693,
OB,O91,0,3,Z0,0,-2.09647,9.0459,7.23535,
OB,O92,1,2,Z0,58.2905,0.5,6.4714,6.33116,
OB,O93,1,1,Z0,63.2184,-6.77491,6.27491,1.7816,
OB,O94,1,1,Z0,31.5354,-7.03375,3.73332,2.89408,
OB,O95,1,1,Z0,31.5354,-3.30043,2.65482,2.89408,
OB,O96,1,1,Z0,47.5028,-7.10366,6.60366,15.7156,
OB,O97,1,1,Z0,30,-6.28629,2.00187,1.53536,
OB,O98,1,1,Z0,30,-7.00345,0.717157,1.53536,
OB,O99,1,1,Z0,30,-4.28442,3.78442,1.53536,
OB,O100,1,1,Z0,31.5354,-0.645612,0.145612,2.89408,
OB,O101,1,1,Z0,34.4294,-7.07613,2.62328,5.51333,
