Type,Identifier,Deck,Segment,Zone,Ax,Ay,a,b
PbB,Pb1,0,NO,Pb,20,-0.5,1,30,
PbB,Pb2,1,NO,Pb,30,-0.5,1,35,
PaB,Pa1,1,NO,Pa,65,-6.68163,13.3633,10,
PaB,Pa2,0,NO,Pa,90,-3.4359,6.87181,10,
PaB,Pa3,2,NO,Pa,60,-6.53625,13.0725,10,
OB,O1,-1,14,Z0,75.9301,-4.81553,9.63105,4.06994,
OB,O2,-1,14,Z0,66.1282,-5.91551,5.40524,9.80182,
OB,O3,-1,13,Z0,50,-6.58037,6.18037,7.30758,
OB,O4,-1,14,Z0,60,-6.32273,12.6455,6.12824,
OB,O5,-2,15,Z0,40.6057,-4.05581,8.11161,4.39427,
OB,O6,-2,16,Z0,58.3543,-3,6,6.64572,
OB,O7,-1,13,Z0,57.3076,-6.42992,6.02992,2.69242,
OB,O8,-2,16,Z0,55.0575,-3,4.75004,3.29682,
OB,O9,-2,16,Z0,55.0575,1.75004,1.24996,3.29682,
OB,O10,-2,15,Z0,18,-3.8437,7.6874,22.6057,
OB,O11,-2,16,Z0,50,-3,2.84933,5.05746,
OB,O12,-1,14,Z0,66.1282,-0.51027,6.42578,9.80182,
OB,O13,-2,17,Z0,70,0.5,2.76009,3.94047,
OB,O14,-2,16,Z0,50,-0.150674,3.15067,5.05746,
OB,O15,-2,17,Z0,73.9405,0.5,2.38342,6.05953,
OB,O16,-1,8,Z0,10,3,3.52346,31.4062,
OB,O17,-1,8,Z0,41.4062,3,3.58037,8.59385,
OB,O18,-1,7,Z0,2,-1.30538,6.60644,5.33824,
OB,O19,0,6,Z0,56.6777,3.15871,4.24982,4.20746,
OB,O20,-1,11,Z0,38.7795,-2.5,5,3.50112,
OB,O21,-1,12,Z0,50,0.4,6.18037,10,
OB,O22,-1,11,Z0,44.9667,-2.5,5,4.23329,
OB,O23,-1,11,Z0,42.2806,-0.338574,2.83857,2.68611,
OB,O24,-1,11,Z0,42.2806,-2.5,2.16143,2.68611,
OB,O25,-1,10,Z0,10,-5.79847,2.79847,6.62307,
OB,O26,0,6,Z0,66.7855,-6.95566,9.02509,7.29109,
OB,O27,-1,10,Z0,18.6656,-6.1519,3.1519,6.75327,
OB,O28,-1,7,Z0,2,-5.30106,3.99568,5.33824,
OB,O29,-1,7,Z0,7.33824,-5.45492,10.9098,2.66176,
OB,O30,-1,11,Z0,31,-2.5,5,7.77948,
OB,O31,-1,10,Z0,25.4189,-6.28321,3.28321,4.12989,
OB,O32,-1,10,Z0,41.7575,-6.58037,3.58037,8.24249,
OB,O33,-1,10,Z0,29.5488,-6.46112,3.46112,7.65917,
OB,O34,-1,10,Z0,37.208,-6.52751,3.52751,4.54953,
OB,O35,-1,10,Z0,16.6231,-5.88815,2.88815,2.04258,
OB,O36,0,6,Z0,53.7198,1.74594,2.22864,2.95794,
OB,O37,0,6,Z0,60.8852,1.23163,2.88881,2.34344,
OB,O38,0,6,Z0,60.8852,-2.62394,3.85557,2.34344,
OB,O39,0,6,Z0,60.8852,5.87039,1.40666,2.34344,
OB,O40,0,6,Z0,56.6777,-1.70647,2.11949,4.20746,
OB,O41,0,4,Z0,20,0.5,6.81247,5.15024,
OB,O42,0,4,Z0,25.1502,0.5,4.61086,4.97968,
OB,O43,0,4,Z0,25.1502,5.11086,2.26845,4.97968,
OB,O44,0,4,Z0,30.1299,0.5,2.17082,3.26551,
OB,O45,0,4,Z0,45.8004,3.26164,4.23738,3.61205,
OB,O46,0,5,Z0,20,-7.3287,6.8287,6.23227,
OB,O47,0,4,Z0,38.602,3.55155,3.94145,7.19841,
OB,O48,0,5,Z0,29.7324,-7.44633,3.19071,7.15914,
OB,O49,0,4,Z0,38.602,0.5,3.05155,7.19841,
OB,O50,0,6,Z0,50,-7.5,4.82145,3.71981,
OB,O51,0,5,Z0,36.8915,-7.46392,4.00948,2.18744,
OB,O52,0,6,Z0,53.7198,-3.24988,1.7251,2.95794,
OB,O53,0,6,Z0,50,3.91335,3.58665,3.71981,
OB,O54,0,4,Z0,45.8004,0.5,1.14262,3.61205,
OB,O55,0,6,Z0,50,-2.67855,6.5919,3.71981,
OB,O56,0,4,Z0,45.8004,1.64262,1.61902,3.61205,
OB,O57,0,5,Z0,26.2323,-3.59325,3.09325,3.50008,
OB,O58,0,5,Z0,29.7324,-4.25562,3.75562,7.15914,
OB,O59,0,6,Z0,66.7855,2.06944,4.88622,7.29109,
OB,O60,0,6,Z0,53.7198,-1.52478,3.27072,2.95794,
OB,O61,0,6,Z0,53.7198,-7.46224,4.21236,2.95794,
OB,O62,0,5,Z0,26.2323,-7.37468,1.45982,3.50008,
OB,O63,0,6,Z0,56.6777,-4.66764,2.96116,4.20746,
OB,O64,0,4,Z0,49.4125,0.5,4.76364,0.587537,
OB,O65,0,6,Z0,74.0766,-6.28905,12.5781,0.923441,
OB,O66,0,4,Z0,33.3954,0.5,6.96058,5.20657,
OB,O67,0,5,Z0,39.0789,-7.5,7,10.9211,
OB,O68,0,4,Z0,30.1299,2.67082,4.74638,3.26551,
OB,O69,0,5,Z0,36.8915,-3.45444,2.95444,2.18744,
OB,O70,0,6,Z0,60.8852,-7.27705,2.62329,2.34344,
OB,O71,0,6,Z0,63.2286,-7.15392,2.08197,3.55682,
OB,O72,0,5,Z0,26.2323,-5.91486,2.32161,3.50008,
OB,O73,0,6,Z0,63.2286,-5.07196,0.517606,3.55682,
OB,O74,0,6,Z0,56.6777,-7.40854,2.7409,4.20746,
OB,O75,0,6,Z0,63.2286,-4.55435,11.7083,3.55682,
OB,O76,0,6,Z0,56.6777,0.413018,2.7457,4.20746,
OB,O77,0,6,Z0,60.8852,-4.65375,2.02981,2.34344,
OB,O78,0,6,Z0,53.7198,3.97459,3.48765,2.95794,
OB,O79,0,4,Z0,49.4125,5.26364,2.23636,0.587537,
OB,O80,0,6,Z0,60.8852,4.12043,1.74995,2.34344,
OB,O81,1,2,Z0,47.3682,3.60118,3.50226,3.16117,
OB,O82,1,2,Z0,50.5293,0.5,6.60266,14.4707,
OB,O83,0,3,Z0,0,-7.01856,4.03228,10,
OB,O84,1,2,Z0,43.8382,0.5,6.60344,3.52993,
OB,O85,1,1,Z0,42.8262,-7.1002,6.6002,7.95602,
OB,O86,1,2,Z0,30,0.5,1.86631,3.13243,
OB,O87,1,1,Z0,50.7822,-2.95026,2.45026,3.02104,
OB,O88,1,2,Z0,47.3682,2.57207,1.02911,3.16117,
OB,O89,1,2,Z0,33.1324,0.5,6.59545,10.7058,
OB,O90,1,2,Z0,47.3682,0.5,2.07207,3.16117,
OB,O91,0,3,Z0,0,-2.98627,10.0048,10,
OB,O92,1,2,Z0,30,2.36631,4.65563,3.13243,
OB,O93,1,1,Z0,50.7822,-7.1002,4.14995,3.02104,
OB,O94,1,1,Z0,32.1864,-7.04625,3.94051,3.75486,
OB,O95,1,1,Z0,32.1864,-3.10574,2.60574,3.75486,
OB,O96,1,1,Z0,30,-3.48473,2.98473,2.18639,
OB,O97,1,1,Z0,30,-4.7316,1.24687,2.18639,
OB,O98,1,1,Z0,30,-7.01099,0.795616,2.18639,
OB,O99,1,1,Z0,53.8033,-7.07091,6.57091,11.1967,
OB,O100,1,1,Z0,30,-6.21537,1.48377,2.18639,
OB,O101,1,1,Z0,35.9413,-7.09043,6.59043,6.88494,
